ranking_method,rank_position,advanced_only_station,appears_in_naive_top10,appears_in_advanced_top10,advanced_priority_rank,station_id,station_name,city,state,current_aqi,advanced_priority_score,hotspot_status,primary_pollution_source,recommended_intervention
Naive AQI ranking,1,False,True,False,19,uttar_pradesh__moradabad__transport_nagar_moradabad_uppcb,"Transport Nagar, Moradabad - UPPCB",Moradabad,Uttar Pradesh,500.0,66.18,Critical forecast hotspot,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring."
Naive AQI ranking,2,False,True,False,21,haryana__hisar__urban_estate_ii_hisar_hspcb,"Urban Estate-II, Hisar - HSPCB",Hisar,Haryana,500.0,66.01,Critical forecast hotspot,Industrial combustion,"Immediate intervention: Increase industrial emission inspection, check stack compliance, enforce fuel-quality standards, and monitor nearby industrial clusters."
Naive AQI ranking,3,False,True,False,22,uttar_pradesh__ghaziabad__vasundhara_ghaziabad_uppcb,"Vasundhara, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,500.0,65.36,Critical forecast hotspot,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring."
Naive AQI ranking,4,False,True,False,23,delhi__delhi__crri_mathura_road_delhi_iitm,"CRRI Mathura Road, Delhi - IITM",Delhi,Delhi,500.0,65.35,Critical forecast hotspot,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring."
Naive AQI ranking,5,False,True,False,24,delhi__delhi__igi_airport_t3_delhi_iitm,"IGI Airport (T3), Delhi - IITM",Delhi,Delhi,500.0,64.88,Critical forecast hotspot,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring."
Naive AQI ranking,6,False,True,False,25,west_bengal__howrah__padmapukur_howrah_wbpcb,"Padmapukur, Howrah - WBPCB",Howrah,West Bengal,500.0,64.69,Critical forecast hotspot,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring."
Naive AQI ranking,7,False,True,False,42,delhi__delhi__rohini_delhi_dpcc,"Rohini, Delhi - DPCC",Delhi,Delhi,500.0,62.63,Critical forecast hotspot,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring."
Naive AQI ranking,8,False,True,False,45,andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,500.0,61.66,Critical forecast hotspot,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls."
Naive AQI ranking,9,False,True,False,44,odisha__cuttack__cda_area_cuttack_ospcb,"CDA Area, Cuttack - OSPCB",Cuttack,Odisha,500.0,61.68,Critical forecast hotspot,Industrial combustion,"Immediate intervention: Increase industrial emission inspection, check stack compliance, enforce fuel-quality standards, and monitor nearby industrial clusters."
Naive AQI ranking,10,False,True,False,15,punjab__mandi_gobindgarh__rimt_university_mandi_gobindgarh_ppcb,"RIMT University, Mandi Gobindgarh - PPCB",Mandi Gobindgarh,Punjab,500.0,67.4,Critical forecast hotspot,Industrial combustion,"Immediate intervention: Increase industrial emission inspection, check stack compliance, enforce fuel-quality standards, and monitor nearby industrial clusters."
