ranking_method,rank_position,advanced_only_station,appears_in_naive_top10,appears_in_advanced_top10,advanced_priority_rank,station_id,station_name,city,state,current_aqi,advanced_priority_score,hotspot_status,primary_pollution_source,recommended_intervention
Naive AQI ranking,1,False,True,False,19,uttar_pradesh__moradabad__transport_nagar_moradabad_uppcb,"Transport Nagar, Moradabad - UPPCB",Moradabad,Uttar Pradesh,500.0,66.18,Critical forecast hotspot,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring."
Naive AQI ranking,2,False,True,False,21,haryana__hisar__urban_estate_ii_hisar_hspcb,"Urban Estate-II, Hisar - HSPCB",Hisar,Haryana,500.0,66.01,Critical forecast hotspot,Industrial combustion,"Immediate intervention: Increase industrial emission inspection, check stack compliance, enforce fuel-quality standards, and monitor nearby industrial clusters."
Naive AQI ranking,3,False,True,False,22,uttar_pradesh__ghaziabad__vasundhara_ghaziabad_uppcb,"Vasundhara, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,500.0,65.36,Critical forecast hotspot,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring."
Naive AQI ranking,4,False,True,False,23,delhi__delhi__crri_mathura_road_delhi_iitm,"CRRI Mathura Road, Delhi - IITM",Delhi,Delhi,500.0,65.35,Critical forecast hotspot,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring."
Naive AQI ranking,5,False,True,False,24,delhi__delhi__igi_airport_t3_delhi_iitm,"IGI Airport (T3), Delhi - IITM",Delhi,Delhi,500.0,64.88,Critical forecast hotspot,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring."
Naive AQI ranking,6,False,True,False,25,west_bengal__howrah__padmapukur_howrah_wbpcb,"Padmapukur, Howrah - WBPCB",Howrah,West Bengal,500.0,64.69,Critical forecast hotspot,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring."
Naive AQI ranking,7,False,True,False,42,delhi__delhi__rohini_delhi_dpcc,"Rohini, Delhi - DPCC",Delhi,Delhi,500.0,62.63,Critical forecast hotspot,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring."
Naive AQI ranking,8,False,True,False,45,andhra_pradesh__amaravati__secretariat_amaravati_appcb,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,500.0,61.66,Critical forecast hotspot,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls."
Naive AQI ranking,9,False,True,False,44,odisha__cuttack__cda_area_cuttack_ospcb,"CDA Area, Cuttack - OSPCB",Cuttack,Odisha,500.0,61.68,Critical forecast hotspot,Industrial combustion,"Immediate intervention: Increase industrial emission inspection, check stack compliance, enforce fuel-quality standards, and monitor nearby industrial clusters."
Naive AQI ranking,10,False,True,False,15,punjab__mandi_gobindgarh__rimt_university_mandi_gobindgarh_ppcb,"RIMT University, Mandi Gobindgarh - PPCB",Mandi Gobindgarh,Punjab,500.0,67.4,Critical forecast hotspot,Industrial combustion,"Immediate intervention: Increase industrial emission inspection, check stack compliance, enforce fuel-quality standards, and monitor nearby industrial clusters."
Advanced priority ranking,1,True,False,True,1,uttar_pradesh__meerut__miet_college_meerut_uppcb,"MIET College, Meerut - UPPCB",Meerut,Uttar Pradesh,462.64,74.32,Critical forecast hotspot,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring."
Advanced priority ranking,2,True,False,True,2,assam__guwahati__pan_bazaar_guwahati_pcba,"Pan Bazaar, Guwahati - PCBA",Guwahati,Assam,350.88,74.19,Critical forecast hotspot,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring."
Advanced priority ranking,3,True,False,True,3,uttar_pradesh__khora__prashant_garden_khora_uppcb,"Prashant Garden, Khora - UPPCB",Khora,Uttar Pradesh,500.0,73.22,Critical forecast hotspot,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring."
Advanced priority ranking,4,True,False,True,4,uttar_pradesh__muzaffarnagar__new_mandi_muzaffarnagar_uppcb,"New Mandi, Muzaffarnagar - UPPCB",Muzaffarnagar,Uttar Pradesh,462.64,72.69,Critical forecast hotspot,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring."
Advanced priority ranking,5,True,False,True,5,uttar_pradesh__raebareli__anand_nagar_raebareli_uppcb,"Anand Nagar, Raebareli - UPPCB",Raebareli,Uttar Pradesh,500.0,71.94,Critical forecast hotspot,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring."
Advanced priority ranking,6,True,False,True,5,haryana__faridabad__sector_11_faridabad_hspcb,"Sector 11, Faridabad - HSPCB",Faridabad,Haryana,500.0,71.94,Critical forecast hotspot,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls."
Advanced priority ranking,7,True,False,True,6,assam__byrnihat__central_academy_for_sfs_byrnihat_pcba,"Central Academy for SFS, Byrnihat - PCBA",Byrnihat,Assam,500.0,71.76,Critical forecast hotspot,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring."
Advanced priority ranking,8,True,False,True,7,haryana__karnal__sector_12_karnal_hspcb,"Sector-12, Karnal - HSPCB",Karnal,Haryana,493.77,71.69,Critical forecast hotspot,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring."
Advanced priority ranking,9,True,False,True,8,gujarat__bhavnagar__vidhyanagar_bhavnagar_nexteng_enviro,"Vidhyanagar, Bhavnagar - Nexteng Enviro",Bhavnagar,Gujarat,500.0,69.99,Critical forecast hotspot,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring."
