advanced_priority_rank,state,city,station_name,current_aqi,current_aqi_category,forecast_aqi_next,forecast_aqi_category,forecast_aqi_change,forecast_trend,hotspot_status,advanced_priority_score,advanced_priority_category,health_exposure_risk_score,dispersion_index,satellite_aerosol_proxy_score,primary_pollution_source,recommended_intervention,lat,lon
1,Uttar Pradesh,Meerut,"MIET College, Meerut - UPPCB",462.64,Severe,475.6348430220259,Severe,12.994843022025918,Stable,Critical forecast hotspot,74.32,High,88.17,50.36,65.56,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",28.972677,77.641018
2,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",350.88,Very Poor,350.88,Very Poor,0.0,Stable,Critical forecast hotspot,74.19,High,76.07,94.26,60.25,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",26.1875,91.744194
3,Uttar Pradesh,Khora,"Prashant Garden, Khora - UPPCB",500.0,Severe,488.8216427820324,Severe,-11.178357217967571,Stable,Critical forecast hotspot,73.22,High,89.84,38.45,68.2,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",28.61119,77.34206
4,Uttar Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",462.64,Severe,491.1634901528048,Severe,28.52349015280481,Increasing,Critical forecast hotspot,72.69,High,80.41,65.87,49.64,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",29.4723508,77.7194031
5,Uttar Pradesh,Raebareli,"Anand Nagar, Raebareli - UPPCB",500.0,Severe,499.9994461780309,Severe,-0.0005538219691061,Stable,Critical forecast hotspot,71.94,High,77.77,70.82,43.89,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",26.219512,81.237648
5,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",500.0,Severe,498.46304612959045,Severe,-1.5369538704095476,Stable,Critical forecast hotspot,71.94,High,89.57,33.61,66.19,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls.",28.376058,77.315741
6,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",500.0,Severe,492.1253665145065,Severe,-7.8746334854935185,Stable,Critical forecast hotspot,71.76,High,78.33,83.01,32.61,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",26.071318,91.87488
7,Haryana,Karnal,"Sector-12, Karnal - HSPCB",493.77,Severe,499.2050731048237,Severe,5.4350731048237435,Stable,Critical forecast hotspot,71.69,High,85.84,51.78,51.0,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",29.6953,77.0027
8,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",500.0,Severe,499.9996227569056,Severe,-0.0003772430944195,Stable,Critical forecast hotspot,69.99,High,73.49,81.32,32.07,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",21.755417,72.139056
9,Delhi,Delhi,"Shadipur, Delhi - CPCB",468.87,Severe,499.44935555555554,Severe,30.579355555555537,Increasing,Critical forecast hotspot,69.33,High,82.84,38.96,57.0,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.6514781,77.1473105
